split,sector,industry,num_episodes,small_group_warning,preferred_mean_final_after_tax_value,hold_to_terminal_mean_final_after_tax_value,sell_immediately_mean_final_after_tax_value,sell_half_then_hold_mean_final_after_tax_value,preferred_minus_hold_mean,preferred_minus_sell_immediately_mean,preferred_minus_sell_half_mean,preferred_win_rate_vs_hold,preferred_win_rate_vs_sell_immediately,preferred_win_rate_vs_sell_half,preferred_mean_tax_paid,preferred_median_tax_paid,preferred_mean_effective_tax_rate,preferred_mean_short_term_sold_fraction,preferred_mean_long_term_sold_fraction,preferred_no_cut_pct,preferred_discretionary_sale_pct,preferred_average_days_to_first_sale,preferred_median_days_to_first_sale,preferred_median_EAAT_Sharpe,hold_to_terminal_median_EAAT_Sharpe,sell_immediately_median_EAAT_Sharpe,sell_half_then_hold_median_EAAT_Sharpe,preferred_median_TA_EAAT_Sharpe,hold_to_terminal_median_TA_EAAT_Sharpe,sell_immediately_median_TA_EAAT_Sharpe,sell_half_then_hold_median_TA_EAAT_Sharpe,preferred_minus_hold_median_EAAT_Sharpe,preferred_EAAT_Sharpe_win_rate_vs_hold,preferred_minus_hold_median_TA_EAAT_Sharpe,preferred_TA_EAAT_Sharpe_win_rate_vs_hold,preferred_minus_sell_immediately_median_EAAT_Sharpe,preferred_minus_sell_half_median_EAAT_Sharpe,preferred_minus_sell_immediately_median_TA_EAAT_Sharpe,preferred_minus_sell_half_median_TA_EAAT_Sharpe
test,Basic Materials,Specialty Chemicals,21,True,0.3700724219079954,0.4115537650739989,0.27967045409736335,0.34561210958568106,-0.04148134316600345,0.09040196781063203,0.02446031232231432,0.09523809523809523,0.7142857142857143,0.5238095238095238,0.06184792804823412,0.0640051260891811,0.14092623416363004,0.5357142857142857,0.4642857142857143,0.42857142857142855,0.5714285714285714,77.83333333333333,66.5,1.3886565746112087,1.463600113892405,1.532901531312633,1.607811429245062,1.7861078494013405,1.463600113892405,2.98702803605696,2.4956095817415607,0.0,0.23809523809523808,0.0,0.42857142857142855,0.002315826078583272,-0.08490102978919967,-0.5611533818824208,-0.2725460256569183
test,Energy,Oil & Gas E&P,27,True,0.36765311451312394,0.3826315307285825,0.3077249282693191,0.3451782294989509,-0.014978416215458631,0.05992818624380481,0.0224748850141731,0.2222222222222222,0.6666666666666666,0.5925925925925926,0.0608247498257198,0.0463240791493594,0.14518148148148147,0.48148148148148145,0.5185185185185185,0.5185185185185185,0.48148148148148145,50.15384615384615,14.0,1.018806903883983,0.9983750562032644,1.1956899997826609,1.0814729863440269,1.1603299720124698,0.9983750562032644,1.928932853353288,1.4223415933191512,0.0,0.3333333333333333,0.0,0.37037037037037035,0.047413161071253374,0.007181005010049368,-0.20320879322861046,-0.059756244281017445
test,Financial Services,Asset Management,41,False,0.43199822973730956,0.48295486436420737,0.37772543642721834,0.43034015039571283,-0.050956634626897694,0.05427279331009128,0.0016580793415967854,0.07317073170731707,0.6585365853658537,0.5609756097560976,0.06941029502480532,0.0586505874259864,0.14411904991741414,0.4695121951219512,0.5304878048780488,0.5121951219512195,0.4878048780487805,70.65,42.0,1.6390558868766691,1.7100988261613554,1.627088511382332,1.7621933445113194,1.7100988261613554,1.7100988261613554,2.092392953425487,2.0778772610074827,0.0,0.0975609756097561,0.0,0.17073170731707318,0.12183239956125003,0.0,0.0,-0.07000212196403566
test,Financial Services,Banks - Regional,69,False,0.3789892871479327,0.4269804254815278,0.34574743882992587,0.38636393215572684,-0.04799113833359514,0.03324184831800686,-0.007374645007794139,0.11594202898550725,0.5797101449275363,0.4492753623188406,0.06467234633935755,0.0573557798010294,0.14416449917268406,0.4746376811594203,0.5253623188405797,0.463768115942029,0.5362318840579711,77.37837837837837,66.0,1.3297583239697497,1.484593245520576,1.4332208791941952,1.4294818244164358,1.4505755647798506,1.484593245520576,1.7128709476352824,1.5800351049643493,0.0,0.13043478260869565,0.0,0.2318840579710145,-0.019652994537066037,-0.08260609634168659,-0.26691088688549325,-0.1271472156945077
test,Healthcare,Drug Manufacturers - General,25,True,0.36733210963189555,0.38862120932336397,0.29783349769152034,0.3432273535074421,-0.02128909969146842,0.06949861194037511,0.024104756124453352,0.12,0.6,0.6,0.05459219028454581,0.0510396814912854,0.130164,0.36,0.64,0.64,0.36,60.22222222222222,50.0,1.637749161829363,1.3940162355752654,1.4665382981357382,1.4559284655719755,1.637749161829363,1.3940162355752654,1.98915939746696,1.8789095234339028,0.0,0.12,0.0,0.2,0.06765931810830073,4.440892098500626e-16,-0.15598228725257102,-0.0862605033529169
test,Healthcare,Diagnostics & Research,25,True,0.38729838945967665,0.3918889502232088,0.31486047032021425,0.3533747102717115,-0.004590560763532073,0.07243791913946244,0.03392367918796518,0.32,0.72,0.68,0.0585069067629969,0.0600549918197242,0.13737199999999997,0.48,0.52,0.52,0.48,112.33333333333333,119.5,1.467845887385624,1.1415744985637828,1.7460063603174856,1.5217053852298323,1.9122115956436665,1.1415744985637828,3.737953990990198,3.4486802149874767,0.0,0.36,0.0,0.36,-0.11370569269710451,0.0329789240501428,-3.4779242943757076,-0.8946209530397686
test,Healthcare,Medical Devices,30,False,0.3347677504209044,0.33117753102134806,0.3081704561349406,0.31967399357814424,0.003590219399556405,0.02659729428596393,0.015093756842760184,0.23333333333333334,0.6,0.5333333333333333,0.0611409664007417,0.042080391305336695,0.15203932165771705,0.5583333333333333,0.44166666666666665,0.4,0.6,81.44444444444444,57.5,1.1293875382025493,1.0061464269588596,1.469010366202615,1.1900048345193344,1.3706373375565364,1.0061464269588596,2.8303952028075274,2.297839383588706,0.0,0.3,0.0,0.36666666666666664,-0.04185556155948922,-0.081423095561965,-1.3912847734018845,-0.35801489879235865
test,Industrials,Aerospace & Defense,29,True,0.5439143250164368,0.6349173073090052,0.4183316792499436,0.5266244932794742,-0.0910029822925684,0.12558264576649322,0.017289831736962403,0.06896551724137931,0.8275862068965517,0.6551724137931034,0.08300054193784569,0.0831781714595724,0.13806460954420635,0.4051724137931034,0.5948275862068966,0.5172413793103449,0.4827586206896552,62.357142857142854,38.0,1.9673549346425043,2.206083306513797,1.8837705538022376,2.122332818630325,2.12282404723197,2.206083306513797,2.6260608729789934,2.603610151047324,0.0,0.06896551724137931,0.0,0.13793103448275862,0.2605891487485179,-0.05454573574927002,-0.07856410551666537,-0.16446142631039162
test,Industrials,Engineering & Construction,26,True,0.6989683236632872,0.7797407265398603,0.6134446260046557,0.696592676272258,-0.08077240287657307,0.08552369765863156,0.0023756473910292453,0.15384615384615385,0.6153846153846154,0.5,0.1043943371888442,0.0797552198667018,0.13733631497479612,0.3942307692307692,0.6057692307692307,0.5384615384615384,0.46153846153846156,70.41666666666667,60.5,2.19202903353969,2.4052395565520683,2.069890931828495,2.097349686071942,2.2460568045299647,2.4052395565520683,3.6631285491567596,3.0654148877948284,0.0,0.15384615384615385,0.0,0.23076923076923078,0.03244456589139966,-0.06247585476925557,-0.2965929181553577,-0.15718563855057743
test,Industrials,Building Products & Equipment,20,True,0.48263845725300475,0.5303988177624703,0.4728224288378403,0.5016106233001553,-0.04776036050946551,0.009816028415164494,-0.01897216604715051,0.1,0.65,0.6,0.07073050506376985,0.06744270636956451,0.11448991503913027,0.25,0.75,0.65,0.35,33.714285714285715,29.0,1.6979117094558802,2.2066762512626763,1.6202473237316737,1.9929592382114152,2.215118884836248,2.2066762512626763,2.262551437405988,2.167449474861102,0.0,0.1,0.0,0.15,0.10190383337172265,-0.0005957040188073748,0.013126002661793645,-0.0023628639242330163
