split,sector,num_episodes,small_group_warning,preferred_mean_final_after_tax_value,hold_to_terminal_mean_final_after_tax_value,sell_immediately_mean_final_after_tax_value,sell_half_then_hold_mean_final_after_tax_value,preferred_minus_hold_mean,preferred_minus_sell_immediately_mean,preferred_minus_sell_half_mean,preferred_win_rate_vs_hold,preferred_win_rate_vs_sell_immediately,preferred_win_rate_vs_sell_half,preferred_mean_tax_paid,preferred_median_tax_paid,preferred_mean_effective_tax_rate,preferred_mean_short_term_sold_fraction,preferred_mean_long_term_sold_fraction,preferred_no_cut_pct,preferred_discretionary_sale_pct,preferred_average_days_to_first_sale,preferred_median_days_to_first_sale,preferred_median_EAAT_Sharpe,hold_to_terminal_median_EAAT_Sharpe,sell_immediately_median_EAAT_Sharpe,sell_half_then_hold_median_EAAT_Sharpe,preferred_median_TA_EAAT_Sharpe,hold_to_terminal_median_TA_EAAT_Sharpe,sell_immediately_median_TA_EAAT_Sharpe,sell_half_then_hold_median_TA_EAAT_Sharpe,preferred_minus_hold_median_EAAT_Sharpe,preferred_EAAT_Sharpe_win_rate_vs_hold,preferred_minus_hold_median_TA_EAAT_Sharpe,preferred_TA_EAAT_Sharpe_win_rate_vs_hold,preferred_minus_sell_immediately_median_EAAT_Sharpe,preferred_minus_sell_half_median_EAAT_Sharpe,preferred_minus_sell_immediately_median_TA_EAAT_Sharpe,preferred_minus_sell_half_median_TA_EAAT_Sharpe
test,Basic Materials,64,False,0.4285795712527277,0.5231985023161395,0.34376247012240263,0.43348048621927104,-0.09461893106341185,0.08481710113032506,-0.004900914966543369,0.09375,0.625,0.53125,0.06579369392049282,0.0585445954501479,0.1364296798927182,0.41796875,0.58203125,0.546875,0.453125,75.41379310344827,59.0,1.3574175779052757,1.3574454875512192,1.424125304765298,1.4660971366629898,1.6430397614907513,1.3574454875512192,2.5060270688921804,2.028614624879125,0.0,0.203125,0.0,0.3125,-0.01702427318664168,-0.07844047624276862,-0.4841060233582205,-0.14157607547999124
test,Communication Services,47,False,0.5460408471916914,0.6171987240630844,0.47385274707660247,0.5455257355698434,-0.07115787687139305,0.072188100115089,0.0005151116218479769,0.06382978723404255,0.6170212765957447,0.48936170212765956,0.07971766677342138,0.0629953207860016,0.1421509038420855,0.44680851063829785,0.5531914893617021,0.5319148936170213,0.46808510638297873,70.72727272727273,67.0,1.55362910316011,1.619980607399334,1.7143898299631508,1.7749235820032736,1.7335691136079,1.619980607399334,2.108431399085989,2.108469901281167,0.0,0.1702127659574468,0.0,0.2553191489361702,0.022699007067508603,-0.09406598937024946,-0.2668712781544027,-0.14035706966654926
test,Utilities,53,False,0.3766370081719527,0.4390676336542056,0.3077653674088174,0.37341650053151154,-0.06243062548225282,0.06887164076313551,0.0032205076404413398,0.018867924528301886,0.7924528301886793,0.5849056603773585,0.060125424448385645,0.0517921538858187,0.14250330634287045,0.4528301886792453,0.5471698113207547,0.5094339622641509,0.49056603773584906,48.0,38.5,1.5473205128210998,1.670976977843369,1.4108421321905984,1.6028610000242212,1.5846556273915773,1.670976977843369,1.679711576538044,1.707885929132786,0.0,0.07547169811320754,0.0,0.1320754716981132,0.12391548742628,0.003782484069905001,-0.06771891011541209,-0.03183903116488529
test,Real Estate,81,False,0.31425102954232903,0.3764962167285414,0.30034787933574025,0.3384220480321408,-0.062245187186212456,0.013903150206588763,-0.024171018489811853,0.07407407407407407,0.5679012345679012,0.4074074074074074,0.05505830204310421,0.0469439604313272,0.1471132393414104,0.5185185185185185,0.48148148148148145,0.4567901234567901,0.5432098765432098,95.04545454545455,70.5,1.2509503798543902,1.486204780850403,1.4711000546577966,1.5056318140060934,1.3359015927927864,1.486204780850403,1.909919931327198,1.761174975206362,0.0,0.09876543209876543,0.0,0.19753086419753085,-0.09783722133103279,-0.17026976295602125,-0.5004372510094428,-0.25966239807943925
test,Financial Services,227,False,0.4541519843957716,0.5114620676320387,0.39829351798699697,0.45487779280951784,-0.05731008323626704,0.05585846640877467,-0.0007258084137461914,0.08370044052863436,0.6387665198237885,0.5066079295154186,0.07359317286272705,0.0594330787365748,0.14508258498771928,0.4812775330396476,0.5187224669603524,0.4713656387665198,0.5286343612334802,62.975,44.0,1.5397531454537925,1.6198072782989317,1.594138309535404,1.6822030421183771,1.672593627846812,1.6198072782989317,1.9088901088770076,1.851512003571573,0.0,0.1277533039647577,0.0,0.22026431718061673,0.012927399956708552,-0.032150258455927005,-0.13392962780607398,-0.0665778243846038
test,Consumer Cyclical,187,False,0.46998554519405494,0.5263851914949692,0.41932444828676013,0.47285481989086464,-0.05639964630091417,0.05066109690729474,-0.0028692746968097156,0.13903743315508021,0.5935828877005348,0.49732620320855614,0.07800934067494783,0.0577700440694125,0.13889986339768387,0.45187165775401067,0.5481283422459893,0.5187165775401069,0.48128342245989303,61.9,49.5,1.2989527514865005,1.3031574192014923,1.4844475668611483,1.4021592470467334,1.522312714490975,1.3031574192014923,2.344582347840989,1.9798519069751004,0.0,0.22459893048128343,0.0,0.3048128342245989,-0.025657204407444345,-0.0773894278479188,-0.6025717444182618,-0.22615892390119446
test,Industrials,228,False,0.4799490390554001,0.5228736366803164,0.40741449964215604,0.4651440681612362,-0.04292459762491634,0.07253453941324406,0.014804970894163865,0.08771929824561403,0.6885964912280702,0.618421052631579,0.07112080755692339,0.0595752837664523,0.13221773960056696,0.3475877192982456,0.6524122807017544,0.6008771929824561,0.3991228070175439,56.13186813186813,51.0,1.6095682990560076,1.6639042361041732,1.604743244972333,1.65029477147763,1.7482864772734266,1.6639042361041732,2.082472385168761,2.0045382537089287,0.0,0.14035087719298245,0.0,0.18421052631578946,0.08982317512885585,-0.01591735822606266,-0.24195385912188772,-0.09314686328793242
test,Technology,245,False,0.5433576589434718,0.5788945909215993,0.45567343089423273,0.5172840109079161,-0.03553693197812767,0.08768422804923899,0.026073648035555664,0.13877551020408163,0.5959183673469388,0.5387755102040817,0.08269358084172392,0.0679132066148337,0.13419968315607825,0.3989795918367347,0.6010204081632653,0.5551020408163265,0.4448979591836735,57.08256880733945,50.0,1.3906484408652076,1.4074700681082908,1.4595733010833365,1.4786405966494331,1.5534472242346815,1.4074700681082908,2.216601786460777,1.9392271112009924,0.0,0.2,0.0,0.24081632653061225,0.0,-0.015373300664843437,-0.37804651383285903,-0.1505286262589875
test,Energy,62,False,0.3896341753261624,0.41220484448271794,0.3157639772129961,0.36398441084785693,-0.022570669156555506,0.0738701981131663,0.025649764478305408,0.16129032258064516,0.7258064516129032,0.5645161290322581,0.06392155824154663,0.0544159526366747,0.13828041754469403,0.43951612903225806,0.5604838709677419,0.5483870967741935,0.45161290322580644,47.857142857142854,13.5,1.437713410958996,1.3570980761788536,1.3186446722354737,1.3848862973278533,1.4792111870631197,1.3570980761788536,1.9322306830606126,1.7005550365038298,0.0,0.24193548387096775,0.0,0.25806451612903225,0.08245694704696466,-0.034488796917984677,-0.28231440691014137,-0.10749660910246328
test,Healthcare,160,False,0.43781595228055786,0.4579303955023354,0.34807733408462405,0.40300386479347966,-0.020114443221777606,0.08973861819593379,0.03481208748707809,0.1875,0.6375,0.59375,0.06932584784616018,0.049825356812908894,0.13770920083946434,0.4328125,0.5671875,0.55,0.45,78.76388888888889,57.5,1.4361315499424339,1.2944448932330994,1.605205738841279,1.4203586031111186,1.5745330494943741,1.2944448932330994,2.6266423380016715,2.213906615911071,0.0,0.23125,0.0,0.275,-0.03426668281188677,-0.019833601726352623,-0.7922086096108429,-0.29578867747693327
